<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;5;20260127;181500;77352;77354;77308;77327;3549
Si;5;20260127;182000;77322;77335;77232;77253;6806
Si;5;20260127;182500;77248;77258;77237;77244;2680
Si;5;20260127;183000;77244;77313;77223;77300;7601
Si;5;20260127;183500;77303;77369;77275;77327;9526
Si;5;20260127;184000;77326;77337;77270;77280;3258
Si;5;20260127;184500;77279;77307;77248;77260;3847
Si;5;20260127;190500;77320;77329;77203;77303;2811
Si;5;20260127;191000;77301;77328;77225;77244;1680
Si;5;20260127;191500;77241;77260;77009;77257;13629
Si;5;20260127;192000;77257;77291;77245;77286;1269
Si;5;20260127;192500;77286;77294;77286;77287;688
Si;5;20260127;193000;77289;77295;77266;77266;619
Si;5;20260127;193500;77267;77290;77261;77290;461
Si;5;20260127;194000;77289;77290;77274;77282;203
Si;5;20260127;194500;77281;77314;77281;77310;580
Si;5;20260127;195000;77310;77340;77309;77327;624
Si;5;20260127;195500;77327;77327;77288;77288;521
Si;5;20260127;200000;77290;77290;77261;77263;433
Si;5;20260127;200500;77263;77275;77260;77275;184
Si;5;20260127;201000;77276;77288;77275;77279;417
Si;5;20260127;201500;77281;77287;77279;77280;192
Si;5;20260127;202000;77280;77288;77279;77284;318
Si;5;20260127;202500;77286;77304;77284;77304;1210
Si;5;20260127;203000;77305;77346;77300;77344;443
Si;5;20260127;203500;77344;77349;77334;77340;564
Si;5;20260127;204000;77342;77344;77334;77337;230
Si;5;20260127;204500;77338;77367;77337;77350;1104
Si;5;20260127;205000;77351;77355;77344;77347;431
Si;5;20260127;205500;77347;77354;77333;77334;651
Si;5;20260127;210000;77336;77338;77317;77317;537
Si;5;20260127;210500;77319;77331;77296;77298;282
Si;5;20260127;211000;77297;77299;77294;77295;113
Si;5;20260127;211500;77293;77299;77290;77290;409
Si;5;20260127;212000;77298;77307;77290;77303;311
Si;5;20260127;212500;77301;77305;77296;77300;51
Si;5;20260127;213000;77300;77313;77291;77313;613
Si;5;20260127;213500;77312;77314;77291;77291;281
Si;5;20260127;214000;77291;77302;77285;77302;456
Si;5;20260127;214500;77295;77305;77295;77305;95
Si;5;20260127;215000;77303;77319;77285;77300;196
Si;5;20260127;215500;77300;77302;77280;77283;381
Si;5;20260127;220000;77288;77288;77278;77285;107
Si;5;20260127;220500;77283;77285;77278;77279;167
Si;5;20260127;221000;77279;77299;77279;77285;375
Si;5;20260127;221500;77290;77308;77287;77307;155
Si;5;20260127;222000;77307;77322;77305;77310;202
Si;5;20260127;222500;77317;77317;77298;77311;96
Si;5;20260127;223000;77310;77328;77277;77278;499
Si;5;20260127;223500;77278;77304;77276;77290;602
Si;5;20260127;224000;77290;77300;77290;77300;150
Si;5;20260127;224500;77300;77308;77277;77284;266
Si;5;20260127;225000;77287;77294;77272;77275;305
Si;5;20260127;225500;77277;77277;77250;77255;696
Si;5;20260127;230000;77255;77274;77249;77257;1119
Si;5;20260127;230500;77258;77276;77237;77269;1245
Si;5;20260127;231000;77259;77269;77210;77218;1006
Si;5;20260127;231500;77215;77224;77137;77168;2730
Si;5;20260127;232000;77170;77174;77147;77158;814
Si;5;20260127;232500;77156;77188;77148;77148;491
Si;5;20260127;233000;77166;77226;77165;77211;902
Si;5;20260127;233500;77216;77253;77216;77253;412
Si;5;20260127;234000;77246;77258;77237;77239;424
Si;5;20260127;234500;77238;77258;77160;77258;1613
Si;5;20260128;085500;77161;77161;77161;77161;44
Si;5;20260128;090000;77176;77277;77124;77149;4167
Si;5;20260128;090500;77148;77333;77148;77277;6977
Si;5;20260128;091000;77277;77285;77152;77257;4549
Si;5;20260128;091500;77261;77271;77181;77220;1197
Si;5;20260128;092000;77220;77245;77112;77154;3517
Si;5;20260128;092500;77155;77163;77088;77133;3075
Si;5;20260128;093000;77133;77172;77094;77119;2419
Si;5;20260128;093500;77131;77164;77101;77123;1717
Si;5;20260128;094000;77127;77168;77109;77162;934
Si;5;20260128;094500;77163;77226;77152;77219;1588
Si;5;20260128;095000;77217;77256;77196;77219;1327
Si;5;20260128;095500;77216;77264;77172;77229;2161
Si;5;20260128;100000;77215;77243;76978;77015;19681
Si;5;20260128;100500;77019;77063;76819;76845;26588
Si;5;20260128;101000;76845;76969;76819;76926;15910
Si;5;20260128;101500;76928;76973;76885;76953;10194
Si;5;20260128;102000;76950;77055;76920;76924;15294
Si;5;20260128;102500;76926;77067;76890;77041;8868
Si;5;20260128;103000;77048;77250;77041;77236;17575
Si;5;20260128;103500;77234;77317;77195;77274;16512
Si;5;20260128;104000;77276;77351;77246;77311;12721
Si;5;20260128;104500;77308;77343;77272;77273;9313
Si;5;20260128;105000;77273;77389;77267;77347;9963
Si;5;20260128;105500;77352;77450;77345;77404;18333
Si;5;20260128;110000;77404;77448;77402;77431;10540
Si;5;20260128;110500;77431;77450;77396;77411;12532
Si;5;20260128;111000;77414;77439;77352;77389;9964
Si;5;20260128;111500;77394;77441;77342;77342;10883
Si;5;20260128;112000;77341;77490;77272;77275;15782
Si;5;20260128;112500;77276;77299;77212;77279;9322
Si;5;20260128;113000;77278;77336;77261;77292;6365
Si;5;20260128;113500;77294;77307;77245;77283;3956
Si;5;20260128;114000;77288;77403;77285;77392;4800
Si;5;20260128;114500;77395;77402;77325;77370;4201
Si;5;20260128;115000;77375;77431;77364;77374;7234
Si;5;20260128;115500;77375;77397;77330;77347;2776
Si;5;20260128;120000;77350;77386;77298;77320;4642
Si;5;20260128;120500;77324;77353;77277;77336;10311
Si;5;20260128;121000;77336;77347;77304;77332;3934
Si;5;20260128;121500;77331;77400;77330;77397;5328
Si;5;20260128;122000;77400;77445;77261;77307;14584
Si;5;20260128;122500;77303;77390;77294;77350;4668
Si;5;20260128;123000;77350;77376;77275;77311;4532
Si;5;20260128;123500;77314;77388;77300;77371;8048
Si;5;20260128;124000;77379;77422;77329;77351;7718
Si;5;20260128;124500;77354;77387;77323;77372;6094
Si;5;20260128;125000;77375;77425;77360;77360;7778
Si;5;20260128;125500;77361;77382;77334;77360;4732
Si;5;20260128;130000;77366;77381;77305;77313;4121
Si;5;20260128;130500;77317;77364;77310;77320;4326
Si;5;20260128;131000;77320;77353;77220;77254;5370
Si;5;20260128;131500;77255;77334;77239;77312;8195
Si;5;20260128;132000;77313;77375;77298;77357;5783
Si;5;20260128;132500;77355;77401;77342;77348;7461
Si;5;20260128;133000;77348;77368;77310;77355;12839
Si;5;20260128;133500;77355;77421;77343;77360;10549
Si;5;20260128;134000;77359;77409;77359;77386;7134
Si;5;20260128;134500;77386;77406;77333;77348;7372
Si;5;20260128;135000;77348;77370;77321;77323;7147
Si;5;20260128;135500;77323;77435;77323;77400;5153
Si;5;20260128;140500;77399;77440;77354;77404;5638
Si;5;20260128;141000;77404;77424;77352;77371;8608
Si;5;20260128;141500;77376;77427;77364;77410;8861
Si;5;20260128;142000;77413;77429;77370;77390;6026
Si;5;20260128;142500;77390;77515;77375;77504;15533
Si;5;20260128;143000;77504;77636;77419;77615;29234
Si;5;20260128;143500;77613;77658;77581;77636;25889
Si;5;20260128;144000;77637;77656;77621;77641;23825
Si;5;20260128;144500;77641;77695;77610;77631;35606
Si;5;20260128;145000;77632;77674;77627;77672;22825
Si;5;20260128;145500;77667;77810;77651;77788;31300
Si;5;20260128;150000;77793;77900;77734;77823;33823
Si;5;20260128;150500;77822;77833;77730;77794;6574
Si;5;20260128;151000;77794;77796;77650;77690;6762
Si;5;20260128;151500;77691;77734;77652;77680;4157
Si;5;20260128;152000;77680;77794;77627;77725;46339
Si;5;20260128;152500;77724;77743;77680;77734;20649
Si;5;20260128;153000;77734;77786;77711;77738;23020
Si;5;20260128;153500;77742;77778;77738;77764;21681
Si;5;20260128;154000;77765;77825;77753;77772;24746
Si;5;20260128;154500;77772;77804;77757;77794;20042
Si;5;20260128;155000;77794;77825;77781;77800;22514
Si;5;20260128;155500;77801;77820;77771;77774;18208
Si;5;20260128;160000;77778;77845;77749;77770;31194
Si;5;20260128;160500;77772;77792;77698;77717;23669
Si;5;20260128;161000;77718;77738;77645;77669;12666
Si;5;20260128;161500;77670;77798;77660;77794;23404
Si;5;20260128;162000;77790;77826;77740;77786;10756
Si;5;20260128;162500;77786;77798;77742;77749;3542
Si;5;20260128;163000;77749;77756;77681;77725;3326
Si;5;20260128;163500;77723;77745;77709;77709;2675
Si;5;20260128;164000;77707;77767;77703;77745;3508
Si;5;20260128;164500;77748;77778;77710;77715;2996
Si;5;20260128;165000;77718;77732;77665;77698;2492
Si;5;20260128;165500;77700;77708;77659;77668;4588
Si;5;20260128;170000;77667;77683;77613;77625;6056
Si;5;20260128;170500;77625;77697;77625;77692;5495
Si;5;20260128;171000;77695;77707;77641;77656;2073
Si;5;20260128;171500;77663;77736;77656;77720;2570
Si;5;20260128;172000;77726;77748;77652;77672;2437
Si;5;20260128;172500;77665;77690;77628;77655;2694
Si;5;20260128;173000;77661;77727;77640;77695;3215
Si;5;20260128;173500;77693;77704;77657;77670;2550
Si;5;20260128;174000;77670;77670;77614;77618;2118
Si;5;20260128;174500;77619;77646;77535;77607;6245
Si;5;20260128;175000;77608;77635;77585;77633;2737
Si;5;20260128;175500;77633;77640;77611;77631;1066
Si;5;20260128;180000;77629;77638;77564;77587;5388
Si;5;20260128;180500;77587;77712;77581;77712;7977
Si;5;20260128;181000;77711;77770;77697;77742;7592
Si;5;20260128;181500;77743;77765;77707;77731;2815
Si;5;20260128;182000;77740;77755;77705;77748;3090
Si;5;20260128;182500;77748;77755;77726;77745;4837
Si;5;20260128;183000;77745;77748;77730;77738;4410
Si;5;20260128;183500;77737;77739;77715;77728;2061
Si;5;20260128;184000;77724;77727;77680;77683;2954
Si;5;20260128;184500;77682;77690;77643;77666;4567
Si;5;20260128;190500;77660;77726;77660;77687;3391
Si;5;20260128;191000;77687;77688;77643;77671;671
Si;5;20260128;191500;77671;77676;77640;77667;1197
Si;5;20260128;192000;77666;77667;77605;77609;767
Si;5;20260128;192500;77608;77637;77586;77614;1019
Si;5;20260128;193000;77616;77642;77609;77625;424
Si;5;20260128;193500;77630;77636;77622;77629;188
Si;5;20260128;194000;77628;77629;77611;77611;185
Si;5;20260128;194500;77610;77613;77597;77598;194
Si;5;20260128;195000;77597;77598;77575;77581;994
Si;5;20260128;195500;77580;77584;77572;77583;729
Si;5;20260128;200000;77583;77586;77566;77584;643
Si;5;20260128;200500;77585;77591;77568;77591;394
Si;5;20260128;201000;77589;77600;77584;77600;717
Si;5;20260128;201500;77600;77600;77599;77600;693
Si;5;20260128;202000;77600;77600;77586;77587;317
Si;5;20260128;202500;77587;77587;77564;77578;714
Si;5;20260128;203000;77576;77577;77566;77575;193
Si;5;20260128;203500;77577;77612;77577;77605;642
Si;5;20260128;204000;77612;77626;77603;77613;330
Si;5;20260128;204500;77611;77611;77563;77578;1090
Si;5;20260128;205000;77577;77577;77553;77555;582
Si;5;20260128;205500;77555;77555;77551;77553;295
Si;5;20260128;210000;77553;77556;77550;77550;358
Si;5;20260128;210500;77552;77554;77546;77548;734
Si;5;20260128;211000;77549;77551;77547;77548;279
Si;5;20260128;211500;77547;77547;77515;77522;711
Si;5;20260128;212000;77522;77527;77511;77527;429
Si;5;20260128;212500;77528;77580;77525;77580;797
Si;5;20260128;213000;77580;77640;77572;77639;1791
Si;5;20260128;213500;77639;77648;77632;77648;680
Si;5;20260128;214000;77649;77660;77631;77643;709
Si;5;20260128;214500;77643;77678;77636;77668;553
Si;5;20260128;215000;77666;77687;77658;77687;359
Si;5;20260128;215500;77687;77690;77674;77688;597
Si;5;20260128;220000;77687;77690;77664;77689;567
Si;5;20260128;220500;77689;77712;77678;77712;584
Si;5;20260128;221000;77712;77715;77680;77682;357
Si;5;20260128;221500;77682;77693;77682;77683;102
Si;5;20260128;222000;77683;77685;77662;77663;221
Si;5;20260128;222500;77665;77676;77653;77674;296
Si;5;20260128;223000;77675;77697;77674;77694;157
Si;5;20260128;223500;77694;77696;77655;77655;489
Si;5;20260128;224000;77656;77656;77642;77644;338
Si;5;20260128;224500;77644;77644;77579;77584;774
Si;5;20260128;225000;77590;77590;77575;77578;490
Si;5;20260128;225500;77578;77618;77571;77598;840
Si;5;20260128;230000;77598;77598;77576;77594;461
Si;5;20260128;230500;77589;77606;77582;77603;469
Si;5;20260128;231000;77602;77602;77585;77594;428
Si;5;20260128;231500;77595;77598;77555;77557;515
Si;5;20260128;232000;77556;77575;77554;77558;302
Si;5;20260128;232500;77557;77574;77551;77561;392
Si;5;20260128;233000;77556;77576;77553;77573;968
Si;5;20260128;233500;77570;77588;77570;77587;480
Si;5;20260128;234000;77594;77633;77560;77613;923
Si;5;20260128;234500;77612;77640;77591;77592;922
Si;5;20260129;085500;77548;77548;77548;77548;65
Si;5;20260129;090000;77575;77598;77507;77547;3851
Si;5;20260129;090500;77548;77643;77522;77596;2588
Si;5;20260129;091000;77606;77704;77594;77615;3552
Si;5;20260129;091500;77613;77654;77574;77589;1358
Si;5;20260129;092000;77589;77666;77546;77660;2783
Si;5;20260129;092500;77657;77664;77575;77594;1554
Si;5;20260129;093000;77594;77604;77532;77560;1306
Si;5;20260129;093500;77563;77604;77481;77493;3606
Si;5;20260129;094000;77495;77511;77445;77476;3871
Si;5;20260129;094500;77476;77491;77406;77452;5114
Si;5;20260129;095000;77452;77478;77425;77460;2146
Si;5;20260129;095500;77445;77500;77431;77454;1902
Si;5;20260129;100000;77457;77539;77321;77351;21074
Si;5;20260129;100500;77349;77517;77301;77479;29331
Si;5;20260129;101000;77481;77485;77336;77337;21068
Si;5;20260129;101500;77337;77390;77275;77382;14877
Si;5;20260129;102000;77383;77383;77314;77328;8708
Si;5;20260129;102500;77327;77375;77307;77319;9048
Si;5;20260129;103000;77319;77319;77120;77186;20156
Si;5;20260129;103500;77186;77261;77165;77235;11219
Si;5;20260129;104000;77237;77291;77214;77291;9011
Si;5;20260129;104500;77291;77320;77240;77312;12215
Si;5;20260129;105000;77309;77348;77276;77317;10004
Si;5;20260129;105500;77319;77418;77315;77415;12447
Si;5;20260129;110000;77414;77419;77301;77337;8624
Si;5;20260129;110500;77338;77402;77312;77368;11901
Si;5;20260129;111000;77364;77484;77354;77382;10007
Si;5;20260129;111500;77382;77408;77360;77394;6659
Si;5;20260129;112000;77394;77419;77361;77375;5448
Si;5;20260129;112500;77369;77421;77364;77397;9026
Si;5;20260129;113000;77397;77525;77381;77502;21700
Si;5;20260129;113500;77501;77564;77498;77556;26940
Si;5;20260129;114000;77555;77562;77486;77553;34759
Si;5;20260129;114500;77555;77609;77493;77533;53525
Si;5;20260129;115000;77533;77574;77489;77521;38406
Si;5;20260129;115500;77523;77563;77514;77540;22844
Si;5;20260129;120000;77539;77557;77505;77549;22501
Si;5;20260129;120500;77549;77558;77513;77543;24507
Si;5;20260129;121000;77547;77560;77533;77535;28093
Si;5;20260129;121500;77538;77538;77333;77368;13859
Si;5;20260129;122000;77368;77371;77333;77358;5783
Si;5;20260129;122500;77360;77404;77330;77351;5672
Si;5;20260129;123000;77348;77353;77255;77346;7229
Si;5;20260129;123500;77344;77390;77307;77357;8435
Si;5;20260129;124000;77357;77357;77260;77272;6732
Si;5;20260129;124500;77271;77338;77250;77316;9463
Si;5;20260129;125000;77312;77342;77294;77325;4916
Si;5;20260129;125500;77326;77326;77270;77281;4421
Si;5;20260129;130000;77281;77303;77233;77260;7138
Si;5;20260129;130500;77259;77282;77206;77221;6001
Si;5;20260129;131000;77222;77232;77158;77210;8108
Si;5;20260129;131500;77207;77274;77184;77241;6841
Si;5;20260129;132000;77243;77245;77062;77097;17359
Si;5;20260129;132500;77092;77094;77001;77061;22496
Si;5;20260129;133000;77065;77134;77019;77076;17508
Si;5;20260129;133500;77070;77127;77018;77023;12363
Si;5;20260129;134000;77024;77082;76952;77059;44876
Si;5;20260129;134500;77059;77069;76983;77025;30487
Si;5;20260129;135000;77025;77040;77010;77022;5806
Si;5;20260129;135500;77022;77078;76963;77005;11639
Si;5;20260129;140500;77006;77006;76908;76964;18925
Si;5;20260129;141000;76962;77005;76943;76950;4826
Si;5;20260129;141500;76950;76953;76901;76910;11877
Si;5;20260129;142000;76910;76998;76900;76969;13095
Si;5;20260129;142500;76968;76978;76850;76850;15578
Si;5;20260129;143000;76850;76867;76782;76862;13616
Si;5;20260129;143500;76862;76874;76850;76850;6573
Si;5;20260129;144000;76850;77050;76815;76988;21186
Si;5;20260129;144500;76986;77028;76970;77016;8164
Si;5;20260129;145000;77012;77048;76944;76945;7635
Si;5;20260129;145500;76944;76997;76903;76958;6468
Si;5;20260129;150000;76958;76986;76869;76874;5943
Si;5;20260129;150500;76873;76987;76861;76947;7473
Si;5;20260129;151000;76947;76965;76888;76900;3248
Si;5;20260129;151500;76898;76933;76870;76881;3235
Si;5;20260129;152000;76881;76882;76827;76829;4023
Si;5;20260129;152500;76830;76830;76790;76808;5275
Si;5;20260129;153000;76804;76856;76770;76854;4800
Si;5;20260129;153500;76854;76876;76833;76855;3677
Si;5;20260129;154000;76855;76915;76854;76886;5410
Si;5;20260129;154500;76888;76895;76846;76865;2458
Si;5;20260129;155000;76860;76870;76808;76809;2416
Si;5;20260129;155500;76810;76901;76790;76877;7876
Si;5;20260129;160000;76876;76909;76829;76891;7937
Si;5;20260129;160500;76891;76893;76711;76735;12716
Si;5;20260129;161000;76734;76789;76720;76754;12312
Si;5;20260129;161500;76754;76754;76680;76754;9018
Si;5;20260129;162000;76744;76894;76724;76848;18967
Si;5;20260129;162500;76848;76894;76782;76832;19585
Si;5;20260129;163000;76835;76851;76782;76817;18388
Si;5;20260129;163500;76818;76907;76781;76860;23156
Si;5;20260129;164000;76858;76858;76765;76771;19449
Si;5;20260129;164500;76771;76801;76701;76780;23708
Si;5;20260129;165000;76779;76794;76666;76683;33189
Si;5;20260129;165500;76683;76748;76606;76729;28401
Si;5;20260129;170000;76728;76766;76659;76665;10972
Si;5;20260129;170500;76662;76734;76503;76657;25707
Si;5;20260129;171000;76656;76678;76534;76555;8883
